folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
54458n,C_second.txt,2,2,0.0,0.8962807059288025,0.8962807059288025,0.0
15100e,E_second.txt,3,3,0.0,0.4403684139251709,0.4403684139251709,0.0
15100e,N_second.txt,2,2,0.0,0.5357255935668945,0.5357255935668945,0.0
15100e,C_second.txt,2,2,0.0,0.3287210464477539,0.3287210464477539,0.0
19c,E_second.txt,1,1,0.0,,,
19c,N_second.txt,3,3,0.0,0.40186628699302673,0.40186628699302673,0.0
19c,C_second.txt,3,3,0.0,0.5340778231620789,0.5340778231620789,0.0
52171c,E_second.txt,0,0,0.0,,,
52171c,N_second.txt,2,2,0.0,0.4804410934448242,0.4804410934448242,0.0
52171c,C_second.txt,2,2,0.0,0.5256810188293457,0.5256810188293457,0.0
101525c,E_second.txt,3,3,0.0,0.678371250629425,0.678371250629425,0.0
101525c,N_second.txt,3,3,0.0,0.5866531729698181,0.5866531729698181,0.0
101525c,C_second.txt,2,2,0.0,0.5325905084609985,0.5325905084609985,0.0
98561e,E_second.txt,3,3,0.0,0.45729461312294006,0.45729461312294006,0.0
98561e,N_second.txt,3,3,0.0,0.3476285934448242,0.3476285934448242,0.0
98561e,C_second.txt,2,2,0.0,0.6606686115264893,0.6606686115264893,0.0
46650n,E_second.txt,1,1,0.0,,,
46650n,N_second.txt,4,3,0.25,0.5780031085014343,0.5129901766777039,0.06501293182373047
46650n,C_second.txt,2,2,0.0,0.5107920169830322,0.5107920169830322,0.0
43891n,E_second.txt,0,0,0.0,,,
43891n,N_second.txt,3,3,0.0,0.343918114900589,0.343918114900589,0.0
43891n,C_second.txt,2,2,0.0,0.4715465307235718,0.4715465307235718,0.0
91650n,E_second.txt,3,3,0.0,0.5476803183555603,0.5476803183555603,0.0
91650n,N_second.txt,3,3,0.0,0.4150170385837555,0.4150170385837555,0.0
91650n,C_second.txt,5,5,0.0,0.27390000224113464,0.27390000224113464,0.0
109278n,E_second.txt,3,3,0.0,0.6557132601737976,0.6557132601737976,0.0
109278n,N_second.txt,3,3,0.0,0.6826546788215637,0.6826546788215637,0.0
109278n,C_second.txt,4,4,0.0,0.5641101002693176,0.5641101002693176,0.0
103169n,E_second.txt,5,5,0.0,0.47900286316871643,0.47900286316871643,0.0
103169n,N_second.txt,3,3,0.0,0.4871702492237091,0.4871702492237091,0.0
103169n,C_second.txt,4,4,0.0,0.48713693022727966,0.48713693022727966,0.0
62238e,E_second.txt,4,4,0.0,0.4609028100967407,0.4609028100967407,0.0
62238e,N_second.txt,5,5,0.0,0.4012669622898102,0.4012669622898102,0.0
62238e,C_second.txt,4,4,0.0,0.5942851305007935,0.5942851305007935,0.0
46198c,E_second.txt,5,5,0.0,0.5737473368644714,0.5737473368644714,0.0
46198c,N_second.txt,2,2,0.0,0.4626582860946655,0.4626582860946655,0.0
46198c,C_second.txt,3,3,0.0,0.3768272399902344,0.3768272399902344,0.0
142604e,E_second.txt,0,0,0.0,,,
142604e,N_second.txt,5,5,0.0,0.5895746350288391,0.5895746350288391,0.0
142604e,C_second.txt,5,5,0.0,0.38145822286605835,0.38145822286605835,0.0
77590c,E_second.txt,3,3,0.0,0.5696259140968323,0.5696259140968323,0.0
77590c,N_second.txt,4,4,0.0,0.2947964668273926,0.2947964668273926,0.0
77590c,C_second.txt,4,4,0.0,0.48484158515930176,0.48484158515930176,0.0
83900e,E_second.txt,1,1,0.0,,,
83900e,N_second.txt,3,3,0.0,0.4587738513946533,0.4587738513946533,0.0
83900e,C_second.txt,2,2,0.0,0.8704783916473389,0.8704783916473389,0.0
837n,E_second.txt,4,4,0.0,0.8001251220703125,0.8001251220703125,0.0
837n,N_second.txt,3,3,0.0,0.5027888417243958,0.5027888417243958,0.0
837n,C_second.txt,4,4,0.0,0.491984486579895,0.491984486579895,0.0
16989c,E_second.txt,0,0,0.0,,,
16989c,N_second.txt,3,3,0.0,0.3856372535228729,0.3856372535228729,0.0
16989c,C_second.txt,3,3,0.0,0.5866772532463074,0.5866772532463074,0.0
23769n,E_second.txt,3,3,0.0,0.3531252443790436,0.3531252443790436,0.0
23769n,N_second.txt,2,2,0.0,0.15864777565002441,0.15864777565002441,0.0
23769n,C_second.txt,3,3,0.0,0.3497443199157715,0.3497443199157715,0.0
80109n,E_second.txt,3,3,0.0,0.5107949376106262,0.5107949376106262,0.0
80109n,N_second.txt,4,4,0.0,0.6778499484062195,0.6778499484062195,0.0
80109n,C_second.txt,4,4,0.0,0.5690819621086121,0.5690819621086121,0.0
84781e,E_second.txt,3,3,0.0,0.5053859949111938,0.5053859949111938,0.0
84781e,N_second.txt,3,3,0.0,0.6643773317337036,0.6643773317337036,0.0
84781e,C_second.txt,3,3,0.0,0.6007772088050842,0.6007772088050842,0.0
118415n,E_second.txt,3,3,0.0,0.5454419255256653,0.5454419255256653,0.0
118415n,N_second.txt,1,1,0.0,,,
118415n,C_second.txt,4,4,0.0,0.3864315450191498,0.3864315450191498,0.0
72875e,E_second.txt,4,4,0.0,0.5397636294364929,0.5397636294364929,0.0
72875e,N_second.txt,3,3,0.0,0.704566478729248,0.704566478729248,0.0
72875e,C_second.txt,2,2,0.0,0.48902595043182373,0.48902595043182373,0.0
128160n,E_second.txt,2,2,0.0,0.6946018934249878,0.6946018934249878,0.0
128160n,N_second.txt,2,2,0.0,0.09002023935317993,0.09002023935317993,0.0
128160n,C_second.txt,3,3,0.0,0.5861204266548157,0.5861204266548157,0.0
46003n,E_second.txt,4,4,0.0,0.4578617513179779,0.4578617513179779,0.0
46003n,N_second.txt,3,3,0.0,0.2386419028043747,0.2386419028043747,0.0
46003n,C_second.txt,5,5,0.0,0.40621671080589294,0.40621671080589294,0.0
26495e,E_second.txt,7,7,0.0,0.616963267326355,0.616963267326355,0.0
26495e,N_second.txt,4,4,0.0,0.6238412261009216,0.6238412261009216,0.0
26495e,C_second.txt,4,4,0.0,0.6237205266952515,0.6237205266952515,0.0
83247e,E_second.txt,3,3,0.0,0.26444435119628906,0.26444435119628906,0.0
