folder,file,original_count,retained_count,reduction_rate,mean_sim_original,mean_sim_filtered,similarity_drop
83900e,E_second.txt,5,3,0.4,0.7245091199874878,0.6342399716377258,0.09026914834976196
83900e,N_second.txt,4,4,0.0,0.6081089377403259,0.6081089377403259,0.0
83900e,C_second.txt,4,4,0.0,0.44049882888793945,0.44049882888793945,0.0
837n,E_second.txt,4,2,0.5,0.8688812255859375,0.8141088485717773,0.054772377014160156
837n,N_second.txt,5,5,0.0,0.7651001811027527,0.7651001811027527,0.0
837n,C_second.txt,9,9,0.0,0.5230052471160889,0.5230052471160889,0.0
16989c,E_second.txt,5,5,0.0,0.7140458226203918,0.7140458226203918,0.0
16989c,N_second.txt,5,3,0.4,0.8308723568916321,0.783665657043457,0.04720669984817505
16989c,C_second.txt,8,8,0.0,0.7400401830673218,0.7400401830673218,0.0
23769n,E_second.txt,4,4,0.0,0.7415167689323425,0.7415167689323425,0.0
23769n,N_second.txt,4,4,0.0,0.4178389310836792,0.4178389310836792,0.0
23769n,C_second.txt,3,3,0.0,0.7295263409614563,0.7295263409614563,0.0
80109n,E_second.txt,3,3,0.0,0.589302659034729,0.589302659034729,0.0
80109n,N_second.txt,5,5,0.0,0.5140050649642944,0.5140050649642944,0.0
80109n,C_second.txt,5,5,0.0,0.4664319157600403,0.4664319157600403,0.0
84781e,E_second.txt,5,5,0.0,0.7341984510421753,0.7341984510421753,0.0
84781e,N_second.txt,5,5,0.0,0.54803466796875,0.54803466796875,0.0
84781e,C_second.txt,7,7,0.0,0.6202132701873779,0.6202132701873779,0.0
118415n,E_second.txt,8,8,0.0,0.4956321716308594,0.4956321716308594,0.0
118415n,N_second.txt,4,4,0.0,0.43594202399253845,0.43594202399253845,0.0
118415n,C_second.txt,7,6,0.1428571428571429,0.584323525428772,0.5471082329750061,0.03721529245376587
72875e,E_second.txt,4,4,0.0,0.8076262474060059,0.8076262474060059,0.0
72875e,N_second.txt,3,3,0.0,0.7860250473022461,0.7860250473022461,0.0
72875e,C_second.txt,6,4,0.33333333333333337,0.8443511128425598,0.8351485729217529,0.009202539920806885
128160n,E_second.txt,5,5,0.0,0.5494821667671204,0.5494821667671204,0.0
128160n,N_second.txt,5,5,0.0,0.5759388208389282,0.5759388208389282,0.0
128160n,C_second.txt,6,6,0.0,0.6221897006034851,0.6221897006034851,0.0
46003n,E_second.txt,7,7,0.0,0.5102421045303345,0.5102421045303345,0.0
46003n,N_second.txt,3,3,0.0,0.7346789240837097,0.7346789240837097,0.0
46003n,C_second.txt,9,9,0.0,0.5465154647827148,0.5465154647827148,0.0
26495e,E_second.txt,6,4,0.33333333333333337,0.8364610075950623,0.8123075366020203,0.024153470993041992
26495e,N_second.txt,8,8,0.0,0.5344875454902649,0.5344875454902649,0.0
26495e,C_second.txt,5,5,0.0,0.7741585969924927,0.7741585969924927,0.0
83247e,E_second.txt,4,4,0.0,0.4704449474811554,0.4704449474811554,0.0
83247e,N_second.txt,8,8,0.0,0.4387247860431671,0.4387247860431671,0.0
83247e,C_second.txt,5,5,0.0,0.5562822222709656,0.5562822222709656,0.0
122062n,E_second.txt,5,5,0.0,0.6435110569000244,0.6435110569000244,0.0
122062n,N_second.txt,7,7,0.0,0.5610639452934265,0.5610639452934265,0.0
122062n,C_second.txt,6,6,0.0,0.44804123044013977,0.44804123044013977,0.0
89995c,E_second.txt,5,5,0.0,0.8090065121650696,0.8090065121650696,0.0
89995c,N_second.txt,5,5,0.0,0.4485066533088684,0.4485066533088684,0.0
89995c,C_second.txt,10,10,0.0,0.6655450463294983,0.6655450463294983,0.0
97926c,E_second.txt,3,3,0.0,0.46844014525413513,0.46844014525413513,0.0
97926c,N_second.txt,6,6,0.0,0.6088392734527588,0.6088392734527588,0.0
97926c,C_second.txt,2,2,0.0,0.7080415487289429,0.7080415487289429,0.0
49807n,E_second.txt,5,3,0.4,0.762589156627655,0.7041437029838562,0.05844545364379883
49807n,N_second.txt,6,6,0.0,0.6032777428627014,0.6032777428627014,0.0
49807n,C_second.txt,4,4,0.0,0.5823509693145752,0.5823509693145752,0.0
95186n,E_second.txt,4,4,0.0,0.8191229701042175,0.8191229701042175,0.0
95186n,N_second.txt,5,5,0.0,0.5801761746406555,0.5801761746406555,0.0
95186n,C_second.txt,6,6,0.0,0.7040365934371948,0.7040365934371948,0.0
129601e,E_second.txt,6,6,0.0,0.5202867388725281,0.5202867388725281,0.0
129601e,N_second.txt,5,5,0.0,0.710417628288269,0.710417628288269,0.0
129601e,C_second.txt,5,5,0.0,0.7931739687919617,0.7931739687919617,0.0
66225n,E_second.txt,6,5,0.16666666666666663,0.7740067839622498,0.7527350187301636,0.02127176523208618
66225n,N_second.txt,6,6,0.0,0.3764733076095581,0.3764733076095581,0.0
66225n,C_second.txt,4,4,0.0,0.5490522980690002,0.5490522980690002,0.0
97520e,E_second.txt,5,5,0.0,0.46509313583374023,0.46509313583374023,0.0
97520e,N_second.txt,7,7,0.0,0.4544123709201813,0.4544123709201813,0.0
97520e,C_second.txt,5,5,0.0,0.7011939883232117,0.7011939883232117,0.0
37407n,E_second.txt,7,7,0.0,0.5992026329040527,0.5992026329040527,0.0
37407n,N_second.txt,5,5,0.0,0.4328393042087555,0.4328393042087555,0.0
37407n,C_second.txt,5,4,0.19999999999999996,0.6407003402709961,0.5865055322647095,0.05419480800628662
41052n,E_second.txt,5,5,0.0,0.5540227890014648,0.5540227890014648,0.0
41052n,N_second.txt,7,7,0.0,0.5247054100036621,0.5247054100036621,0.0
41052n,C_second.txt,4,4,0.0,0.7203288674354553,0.7203288674354553,0.0
